text,true_emotion,pred_emotion,true_sub_emotion,pred_sub_emotion,true_intensity,pred_intensity,emotion_confidence,sub_emotion_confidence,intensity_confidence,text_length,emotion_correct,sub_emotion_correct,intensity_correct,all_correct,confidence_level
Hang on to your seats cuz Asia's Next Top Model is back with a vengeance,happiness,fear,excitement,neutral,intense,moderate,0.27688244,0.096252196,0.46592474,72,False,False,False,False,Very Low
Thousands of model hopefuls from all over Asia jumped at the chance to pursue their supermodel dream,neutral,happiness,neutral,neutral,moderate,mild,0.5282278,0.16895345,0.42873445,100,False,True,False,False,Medium
But only the standout modeling talent were chosen as our final 14,neutral,happiness,neutral,neutral,moderate,mild,0.48923597,0.19679932,0.5085661,65,False,True,False,False,Medium
Prepare for an adventure of a lifetime,happiness,happiness,excitement,neutral,intense,mild,0.47327524,0.3511067,0.4772576,38,True,False,False,False,High
All I can say girls for this fierce fifth season is be prepared to expect the unexpected,happiness,fear,excitement,curiosity,moderate,moderate,0.36882755,0.1000043,0.50561756,88,False,False,True,False,Very Low
With twists and turns at every corner. This is a crazy competition,neutral,anger,neutral,disapproval,intense,moderate,0.30759206,0.11147826,0.41653597,66,False,False,False,False,Very Low
"If you don't really want to be here, it's short. They will stop at nothing to come out on top",neutral,fear,neutral,neutral,intense,moderate,0.44963345,0.16650467,0.5041177,93,False,True,False,False,Medium
I don't want to trust anyone with some of the top names in the industry,neutral,sadness,neutral,neutral,moderate,moderate,0.35861367,0.12348688,0.49127576,71,False,True,True,False,Very Low
If you're rich bitch show me and me Cindy Bishop back for a cycle like no other,neutral,disgust,neutral,curiosity,moderate,moderate,0.23100795,0.1376197,0.49695852,79,False,False,True,False,Very Low
We'll kill it on the international stage. The challenges are tough,neutral,fear,neutral,neutral,intense,moderate,0.47392756,0.15638068,0.4592978,66,False,True,False,False,Low
"Okay, I got my work cut out for me now",neutral,fear,neutral,annoyance,moderate,moderate,0.379994,0.08897617,0.42412615,38,False,False,True,False,Very Low
Let the games begin,neutral,neutral,neutral,neutral,intense,neutral,0.535326,0.73185694,0.69064337,19,True,True,False,False,Very High
Would say that I'm a model with brains. I am putting my degree in whole,neutral,happiness,neutral,neutral,moderate,moderate,0.28054932,0.14694875,0.43345967,71,False,True,True,False,Very Low
It's now or never and by one last shot before I jump back into the world of academia,neutral,fear,neutral,neutral,intense,moderate,0.5106547,0.15870994,0.47143802,84,False,True,False,False,Medium
"Indonesia, of course, obviously, we're twins",neutral,happiness,neutral,neutral,neutral,neutral,0.32972085,0.5116717,0.43398657,44,False,True,True,False,High
Double power,neutral,neutral,neutral,neutral,moderate,neutral,0.33149835,0.48343122,0.4637146,12,True,True,False,False,High
"It was my idea to come to Asia's Next Top Model, sorry, Veronica",happiness,sadness,pride,sadness,mild,moderate,0.5468645,0.08479543,0.3892239,64,False,False,False,False,Low
"Even if you're my twin sister, but I'm gonna win this there's two of us and only one winner",neutral,fear,neutral,optimism,intense,moderate,0.3430264,0.1685688,0.50715816,91,False,False,False,False,Low
Really love fashion. So I started my fashion blog. I have,neutral,happiness,neutral,admiration,moderate,mild,0.5572401,0.15597698,0.48998564,57,False,False,False,False,Medium
"70,000 followers in Instagram right now. They keep on commenting on my photos at the Jenica",neutral,anger,neutral,neutral,moderate,moderate,0.35769174,0.27849728,0.34443226,91,False,True,True,False,Very Low
Please join Asia's Next Top Model for me. I'm gonna do everything to go all the way to the top,happiness,fear,optimism,neutral,intense,moderate,0.32061556,0.16723159,0.47767007,94,False,False,False,False,Very Low
"Name is Clara. I'm 21 years old. I'm from Indonesia. I don't have brain. I mean, I'm not smart",neutral,sadness,neutral,disapproval,neutral,moderate,0.43272042,0.19926548,0.46839547,94,False,False,False,False,Low
"When I go to primary school, I get bullied",neutral,anger,neutral,annoyance,moderate,moderate,0.36471465,0.12920378,0.436129,42,False,False,True,False,Very Low
I want to prove my primary school who bullied me the ugly ducking now become a pretty pretty face,neutral,anger,neutral,annoyance,intense,moderate,0.31028286,0.10676472,0.4371555,97,False,False,False,False,Very Low
I'm Cara G McElroy and I am your model mentor for this season of Asia's Next Top Model,happiness,happiness,pride,neutral,moderate,mild,0.57334083,0.13508742,0.4375525,86,True,False,False,False,Medium
I've worked for many global ad campaigns and worked alongside,neutral,happiness,neutral,neutral,moderate,mild,0.5142802,0.24446063,0.4810403,61,False,True,False,False,Medium
Supermodels like Cindy Crawford and Naomi Campbell,neutral,happiness,neutral,neutral,moderate,mild,0.46950272,0.21506569,0.5913571,50,False,True,False,False,High
Wow Cara is so beautiful. She's tall and she's so poised,surprise,happiness,admiration,admiration,intense,moderate,0.29512674,0.114384964,0.41708463,56,False,True,False,False,Very Low
the gorgeous,neutral,happiness,neutral,admiration,moderate,mild,0.43133274,0.19187495,0.5253108,12,False,False,False,False,Medium
