text,true_emotion,pred_emotion,true_sub_emotion,pred_sub_emotion,true_intensity,pred_intensity,emotion_confidence,sub_emotion_confidence,intensity_confidence,text_length,emotion_correct,sub_emotion_correct,intensity_correct,all_correct,confidence_level
Hang on to your seats cuz Asia's Next Top Model is back with a vengeance,happiness,happiness,excitement,neutral,intense,mild,0.2989122,0.2434169,0.31247333,72,True,False,False,False,Very Low
Thousands of model hopefuls from all over Asia jumped at the chance to pursue their supermodel dream,neutral,happiness,neutral,admiration,moderate,mild,0.6703264,0.112089865,0.39911687,100,False,False,False,False,Low
But only the standout modeling talent were chosen as our final 14,neutral,happiness,neutral,neutral,moderate,mild,0.45794785,0.3891844,0.3923999,65,False,True,False,False,Low
Prepare for an adventure of a lifetime,happiness,happiness,excitement,neutral,intense,mild,0.56040543,0.13365507,0.3478782,38,True,False,False,False,Low
All I can say girls for this fierce fifth season is be prepared to expect the unexpected,happiness,happiness,excitement,neutral,moderate,moderate,0.322622,0.16091359,0.3805547,88,True,False,True,False,Very Low
With twists and turns at every corner. This is a crazy competition,neutral,sadness,neutral,disapproval,intense,moderate,0.24257305,0.17337094,0.53101164,66,False,False,False,False,Very Low
"If you don't really want to be here, it's short. They will stop at nothing to come out on top",neutral,sadness,neutral,neutral,intense,moderate,0.24342498,0.16678779,0.50992817,93,False,True,False,False,Very Low
I don't want to trust anyone with some of the top names in the industry,neutral,sadness,neutral,disapproval,moderate,moderate,0.29391405,0.15592869,0.5265353,71,False,False,True,False,Very Low
If you're rich bitch show me and me Cindy Bishop back for a cycle like no other,neutral,disgust,neutral,disapproval,moderate,moderate,0.34678894,0.20637746,0.53797615,79,False,False,True,False,Low
We'll kill it on the international stage. The challenges are tough,neutral,happiness,neutral,neutral,intense,moderate,0.32691243,0.16557615,0.33455607,66,False,True,False,False,Very Low
"Okay, I got my work cut out for me now",neutral,neutral,neutral,neutral,moderate,neutral,0.28872564,0.3229312,0.4090577,38,True,True,False,False,Low
Let the games begin,neutral,neutral,neutral,neutral,intense,neutral,0.4663927,0.6361778,0.6278261,19,True,True,False,False,High
Would say that I'm a model with brains. I am putting my degree in whole,neutral,happiness,neutral,approval,moderate,mild,0.67754024,0.11771045,0.5399136,71,False,False,False,False,Medium
It's now or never and by one last shot before I jump back into the world of academia,neutral,neutral,neutral,neutral,intense,neutral,0.28346437,0.50100607,0.4539375,84,True,True,False,False,Low
Double power,neutral,happiness,neutral,admiration,moderate,mild,0.6587423,0.1306937,0.44666177,12,False,False,False,False,Low
"It was my idea to come to Asia's Next Top Model, sorry, Veronica",happiness,sadness,pride,neutral,mild,moderate,0.3661993,0.15583475,0.45723444,64,False,False,False,False,Very Low
"Even if you're my twin sister, but I'm gonna win this there's two of us and only one winner",neutral,happiness,neutral,neutral,intense,neutral,0.26172903,0.34360486,0.35571346,91,False,True,False,False,Very Low
Really love fashion. So I started my fashion blog. I have,neutral,happiness,neutral,neutral,moderate,mild,0.74964637,0.14033887,0.48829338,57,False,True,False,False,Medium
Please join Asia's Next Top Model for me. I'm gonna do everything to go all the way to the top,happiness,happiness,optimism,neutral,intense,mild,0.5489081,0.1704787,0.3491329,94,True,False,False,False,Low
"Name is Clara. I'm 21 years old. I'm from Indonesia. I don't have brain. I mean, I'm not smart",neutral,fear,neutral,neutral,neutral,moderate,0.23205304,0.34678778,0.36193237,94,False,True,False,False,Very Low
"When I go to primary school, I get bullied",neutral,sadness,neutral,disapproval,moderate,moderate,0.24537104,0.18069229,0.5166228,42,False,False,True,False,Very Low
I want to prove my primary school who bullied me the ugly ducking now become a pretty pretty face,neutral,disgust,neutral,disapproval,intense,moderate,0.25737008,0.17598778,0.5552273,97,False,False,False,False,Very Low
Welcome ladies,neutral,happiness,neutral,neutral,neutral,mild,0.57916147,0.3143853,0.38822302,14,False,True,False,False,Medium
