text,emotion,emotion_code,processed_text
"Oh, did you catch him?!",surprise,4,"Oh , did you catch him ? !"
Oh man. Please tell me one of 'em is Ma.,disgust,5,Oh man . Please tell me one of 'em is Ma .
"Look, look at your man, Ewing. Nice shot. You know what, he couldn't hit water if he was standing on a boat.",disgust,5,"Look , look at your man , Ewing . Nice shot . You know what , he couldn't hit water if he was standing on a boat ."
"I’m sorry Chandler, y’know you are such a sweet guy and I, I don’t want to hurt you.",sadness,1,"I am sorry Chandler , you know you are such a sweet guy and I , I do not want to hurt you ."
You bug me.,disgust,5,You bug me .
We ruined everything.,sadness,1,We ruined everything .
I am not!,anger,2,I am not !
Especially you  with that!,disgust,5,Especially you with that !
"All right. Look, I’m gonna go in here, and you don’t buy me anything ever.",anger,2,"All right . Look , I am gonna go in here , and you do not buy me anything ever ."
"Well, why don’t think of someone else for a change?",anger,2,"Well , why do not think of someone else for a change ?"
A new pair of shoes for the Chan-Chan man!  Yes!,happiness,0,A new pair of shoes for the Chan-Chan man ! Yes !
"Ohh, you're about to get a little luckier.",happiness,0,"Ohh , you are about to get a little luckier ."
You kissed another woman!,anger,2,You kissed another woman !
"Oh no-no, I can’t do that.",fear,3,"Oh no-no , I cannot do that ."
Hello! Were we at the same table? It's like... cocktails in Appalachia.,anger,2,Hello ! Were we at the same table ? It is like . . . cocktails in Appalachia .
This place is so overpriced.,disgust,5,This place is so overpriced .
She said what?,surprise,4,She said what ?
I still can’t believe they took away my key. You trust me with yours.,fear,3,I still cannot believe they took away my key . You trust me with yours .
"Yeah, I have to tell Ross that I love him.",neutral,6,"Yeah , I have to tell Ross that I love him ."
"Okay, I'm not getting this!",anger,2,"Okay , I am not getting this !"
"Well, I’m gonna fill in for him as food critic for the Chelsea Reporter.",happiness,0,"Well , I am gonna fill in for him as food critic for the Chelsea Reporter ."
Yes that was mine.,fear,3,Yes that was mine .
For what? For letting you throw me out of your office?,anger,2,For what ? For letting you throw me out of your office ?
"Fine, just stop thinking about me.",happiness,0,"Fine , just stop thinking about me ."
So you still in touch with anyone from high school?,neutral,6,So you still in touch with anyone from high school ?
Are you being British?!,surprise,4,Are you being British ? !
"I mean we-we told Joey, he cried his eyes out!",sadness,1,"I mean we-we told Joey , he cried his eyes out !"
"Yeah, that's the same as ""it has something to do with wind"".",fear,3,"Yeah , that's the same as ""it has something to do with wind"" ."
"OH! And the year before that, when you set up that nighttime    tour of that button factory?",anger,2,"OH ! And the year before that , when you set up that nighttime tour of that button factory ?"
No! No! No! No——one can beat me.,anger,2,No ! No ! No ! No——one can beat me .
You’ve got to get out of here! Save yourself!,fear,3,You’ve got to get out of here ! Save yourself !
Really? That's great!,happiness,0,Really ? That's great !
Say you'll stay beside me,sadness,1,Say you will stay beside me
Good to have you aboard Bing!,happiness,0,Good to have you aboard Bing !
"Yes, but I wanted you to want to live with me, but okay, if you're having so much fun over here",sadness,1,"Yes , but I wanted you to want to live with me , but okay , if you are having so much fun over here"
"Joey, please!",fear,3,"Joey , please !"
"Oh, this is just terrible.",disgust,5,"Oh , this is just terrible ."
So what! As long as he’s not wearing a white dress and a veil I don’t care.,neutral,6,So what ! As long as he’s not wearing a white dress and a veil I do not care .
oooooooooooooohhhhhhhhhhh,surprise,4,oooooooooooooohhhhhhhhhhh
Look he's a great guy and I love being with him but... you know.,happiness,0,Look he's a great guy and I love being with him but . . . you know .
"Oh, yeah! How did you meet her?",surprise,4,"Oh , yeah ! How did you meet her ?"
"Look, I…  Look, I’m having a great time with you and I just don’t want us to move to fast or put to much pressure on us.",fear,3,"Look , I… Look , I am having a great time with you and I just do not want us to move to fast or put to much pressure on us ."
"Okay lady, you're out of here.",disgust,5,"Okay lady , you are out of here ."
You are so sweet.,happiness,0,You are so sweet .
What?! Joey got a turkey stuck on his head?!,surprise,4,What ? ! Joey got a turkey stuck on his head ? !
"Joey, we",neutral,6,"Joey , we"
What the hell happened on that beach?!,surprise,4,What the hell happened on that beach ? !
That's all right.,neutral,6,That's all right .
Shhhh!,anger,2,Shhhh !
"That’s okay. All right, I’m gonna play song that’s really, really sad. It’s called Magician Box Mix Up.",happiness,0,"That’s okay . All right , I am gonna play song that’s really , really sad . It is called Magician Box Mix Up ."
No-o-o!!,fear,3,No-o-o ! !
"Well, basically, lately, I've uh, I've uh, sort of had feelings for you.",neutral,6,"Well , basically , lately , I've uh , I've uh , sort of had feelings for you ."
Bye guys.,neutral,6,Bye guys .
You're one to talk.,disgust,5,You are one to talk .
Pregnant Woman Slays Four?,fear,3,Pregnant Woman Slays Four ?
I can’t believe we’re living here!,sadness,1,I cannot believe we are living here !
"That’s a good idea, ‘Dear Janice have a Hubba-Bubba birthday’. I would like to get her something serious.",disgust,5,"That’s a good idea , ‘Dear Janice have a Hubba-Bubba birthday’ . I would like to get her something serious ."
Did that!,happiness,0,Did that !
"No, not yet.",neutral,6,"No , not yet ."
"Um, the doctor says it's gotta be a needle.",neutral,6,"Um , the doctor says it is gotta be a needle ."
"Listen also we’re uh, we’re watching the game here Saturday night, if people want to come over.",neutral,6,"Listen also we are uh , we are watching the game here Saturday night , if people want to come over ."
The ring is gone!,surprise,4,The ring is gone !
Noooooo!!,fear,3,Noooooo ! !
"Tell me about it, huh?  Oh no-no-no, I'm not with her, she's just Monica!  Ewwuck!",disgust,5,"Tell me about it , huh ? Oh no-no-no , I am not with her , she's just Monica ! Ewwuck !"
"And what’s cool is, the character is from Naples, right?",happiness,0,"And what’s cool is , the character is from Naples , right ?"
"Yes, you did!",surprise,4,"Yes , you did !"
