text,emotion,emotion_code,processed_text
also I was the point person on my company’s transition from the KL-5 to GR-6 system.,neutral,6,also I was the point person on my company’s transition from the KL-5 to GR-6 system .
You must’ve had your hands full.,neutral,6,You must have had your hands full .
That I did. That I did.,neutral,6,That I did . That I did .
So let’s talk a little bit about your duties.,neutral,6,So let us talk a little bit about your duties .
My duties?  All right.,surprise,4,My duties ? All right .
"Now you’ll be heading a whole division, so you’ll have a lot of duties.",neutral,6,"Now you will be heading a whole division , so you will have a lot of duties ."
I see.,neutral,6,I see .
But there’ll be perhaps 30 people under you so you can dump a certain amount on them.,neutral,6,But there will be perhaps 30 people under you so you can dump a certain amount on them .
Good to know.,neutral,6,Good to know .
We can go into detail,neutral,6,We can go into detail
No don’t I beg of you!,fear,3,No do not I beg of you !
"All right then, we’ll have a definite answer for you on Monday, but I think I can say with some confidence, you’ll fit in well here.",neutral,6,"All right then , we’ll have a definite answer for you on Monday , but I think I can say with some confidence , you will fit in well here ."
Really?!,surprise,4,Really ? !
Absolutely.  You can relax,neutral,6,Absolutely . You can relax
But then who? The waitress I went out with last month?,surprise,4,But then who ? The waitress I went out with last month ?
You know? Forget it!,sadness,1,You know ? Forget it !
"No-no-no-no, no! Who, who were you talking about?",surprise,4,"No-no-no-no , no ! Who , who were you talking about ?"
"No, I-I-I-I don't, I actually don't know",fear,3,"No , I-I-I-I do not , I actually do not know"
Ok!,neutral,6,Ok !
"All right, well...",neutral,6,"All right , well . . ."
"Yeah, sure!",neutral,6,"Yeah , sure !"
"Hey, Mon.",neutral,6,"Hey , Mon ."
Hey-hey-hey. You wanna hear something that sucks.,neutral,6,Hey-hey-hey . You wanna hear something that sucks .
Do I ever.,happiness,0,Do I ever .
Chris says they’re closing down the bar.,sadness,1,Chris says they are closing down the bar .
No way!,surprise,4,No way !
"Yeah, apparently they’re turning it into some kinda coffee place.",neutral,6,"Yeah , apparently they are turning it into some kinda coffee place ."
Just coffee! Where are we gonna hang out now?,disgust,5,Just coffee ! Where are we gonna hang out now ?
Got me.,sadness,1,Got me .
Can I get a beer.,neutral,6,Can I get a beer .
"Hey, did you pick a roommate?",neutral,6,"Hey , did you pick a roommate ?"
You betcha!,happiness,0,You betcha !
Is it the Italian guy?,neutral,6,Is it the Italian guy ?
"Um-mm, yeah right!",happiness,0,"Um-mm , yeah right !"
"Oh my God, oh my God! Poor Monica!",surprise,4,"Oh my God , oh my God ! Poor Monica !"
"What, what, what?!",surprise,4,"What , what , what ? !"
What?!,surprise,4,What ? !
He was with her when he wrote this poem.,neutral,6,He was with her when he wrote this poem .
"Look,  'My vessel so empty with nothing inside.",neutral,6,"Look , 'My vessel so empty with nothing inside ."
"Now that I've touched you, you seem emptier still.'",neutral,6,"Now that I've touched you , you seem emptier still . '"
"He thinks Monica is empty, she is the empty vase!",surprise,4,"He thinks Monica is empty , she is the empty vase !"
"Oh, totally. Oh, God, oh, she seemed so happy too.",sadness,1,"Oh , totally . Oh , God , oh , she seemed so happy too ."
Done.,neutral,6,Done .
Hey!,surprise,4,Hey !
Hi!,happiness,0,Hi !
What are you doing here?,surprise,4,What are you doing here ?
"Ah y'know, this building is on my paper route so I...",neutral,6,"Ah y'know , this building is on my paper route so I . . ."
Oh.,neutral,6,Oh .
Hi.,neutral,6,Hi .
How’d did it go?,neutral,6,How’d did it go ?
