text,emotion,emotion_code,sub_emotion,processed_text
Did you kiss?,surprise,4,curiosity,Did you kiss ?
Yeah.,neutral,6,neutral,Yeah .
But no !,anger,2,annoyance,But no !
Why do you have a problem?,surprise,4,confusion,Why do you have a problem ?
Did you kiss?,surprise,4,curiosity,Did you kiss ?
Yeah.,neutral,6,neutral,Yeah .
"So, you wanted a girl like that?",surprise,4,curiosity,"So , you wanted a girl like that ?"
"What is there, actually?",surprise,4,curiosity,"What is there , actually ?"
What is the problem?,surprise,4,confusion,What is the problem ?
It's going fast.,neutral,6,neutral,It is going fast .
It goes very quickly.,neutral,6,neutral,It goes very quickly .
This is the 3rd time that I have seen it.,neutral,6,neutral,This is the 3rd time that I have seen it .
We got very wrong.,sadness,1,disappointment,We got very wrong .
"You saw it 3 times, an hour.",neutral,6,neutral,"You saw it 3 times , an hour ."
"Si t'as le feeling, t'as le feeling.",neutral,6,neutral,"Si t'as le feeling , t'as le feeling ."
We had the 5th!,happiness,0,excitement,We had the 5th !
I am shocked.,surprise,4,surprise,I am shocked .
I am shocked.,surprise,4,surprise,I am shocked .
"Yesterday, you told me that in big, limit ...",neutral,6,neutral,"Yesterday , you told me that in big , limit . . ."
"I tell you in my own way, I am from the south,",neutral,6,neutral,"I tell you in my own way , I am from the south ,"
I am very ...,neutral,6,neutral,I am very . . .
That she eats to all the racks,neutral,6,neutral,That she eats to all the racks
I didn't say that.,anger,2,annoyance,I didn't say that .
This is what I just told you.,anger,2,annoyance,This is what I just told you .
I speak in my own way.,happiness,0,pride,I speak in my own way .
"At that time, I tell him",neutral,6,neutral,"At that time , I tell him"
He didn't say that.,surprise,4,confusion,He didn't say that .
"If we can both be, we are both.",neutral,6,neutral,"If we can both be , we are both ."
She has known him since yesterday.,neutral,6,neutral,She has known him since yesterday .
At what time you allow yourself to tell someone,surprise,4,curiosity,At what time you allow yourself to tell someone
What should he do?,surprise,4,curiosity,What should he do ?
It's a crazy thing.,surprise,4,surprise,It is a crazy thing .
"Yes, it had pissed me off.",anger,2,anger,"Yes , it had pissed me off ."
I spoke with Manon.,neutral,6,neutral,I spoke with Manon .
"Because there, you get involved in what you don't look at.",surprise,4,confusion,"Because there , you get involved in what you do not look at ."
Are you a whore or what?,anger,2,anger,Are you a whore or what ?
You get involved in what you don't look at.,surprise,4,confusion,You get involved in what you do not look at .
"You get bored, you look at us.",anger,2,annoyance,"You get bored , you look at us ."
She gets angry.,anger,2,anger,She gets angry .
"Me, it does me something.",surprise,4,curiosity,"Me , it does me something ."
"If you get angry, you have something towards me.",anger,2,anger,"If you get angry , you have something towards me ."
This is what I understand.,neutral,6,realization,This is what I understand .
I don't know how to react to all the inhabitants.,surprise,4,confusion,I do not know how to react to all the inhabitants .
It is a very complex situation.,surprise,4,confusion,It is a very complex situation .
We mingle with everything.,neutral,6,neutral,We mingle with everything .
"It's like that, it's community life.",neutral,6,neutral,"It is like that , it is community life ."
"In an adventure, we mix with everything.",neutral,6,neutral,"In an adventure , we mix with everything ."
Do you have anything else to say?,surprise,4,curiosity,Do you have anything else to say ?
You look at us.,neutral,6,neutral,You look at us .
And what does that do it?,surprise,4,confusion,And what does that do it ?
I fight my balls.,anger,2,annoyance,I fight my balls .
I fight my balls.,anger,2,annoyance,I fight my balls .
I look.,neutral,6,neutral,I look .
You are going to have suitors.,happiness,0,optimism,You are going to have suitors .
"Don't worry, I don't need them.",neutral,6,neutral,"Do not worry , I do not need them ."
I live without that.,neutral,6,neutral,I live without that .
I live without that.,neutral,6,neutral,I live without that .
"Sure and certain, we will never be friends.",sadness,1,disappointment,"Sure and certain , we will never be friends ."
Really.,neutral,6,neutral,Really .
I think you wanted it too.,surprise,4,curiosity,I think you wanted it too .
So that's it.,neutral,6,realization,So that's it .
"It's a crazy thing, I tell you.",happiness,0,excitement,"It is a crazy thing , I tell you ."
It is the Creation Court.,neutral,6,neutral,It is the Creation Court .
They made a kiss.,neutral,6,neutral,They made a kiss .
Wow!,surprise,4,surprise,Wow !
Where are we?,surprise,4,confusion,Where are we ?
Hello ?,neutral,6,neutral,Hello ?
"When it is to talk about them, they avoid the subject.",anger,2,annoyance,"When it is to talk about them , they avoid the subject ."
"When it's us, it makes them laugh.",anger,2,annoyance,"When it is us , it makes them laugh ."
Is that in a sense.,neutral,6,neutral,Is that in a sense .
It annoys me.,anger,2,annoyance,It annoys me .
It annoys me.,anger,2,annoyance,It annoys me .
I don't care.,neutral,6,neutral,I do not care .
I don't understand.,surprise,4,confusion,I do not understand .
"When we go to the beach,",neutral,6,neutral,"When we go to the beach ,"
The girl takes out her big Jemelles.,neutral,6,neutral,The girl takes out her big Jemelles .
It looks like a pirate.,happiness,0,amusement,It looks like a pirate .
It hurts him.,sadness,1,sadness,It hurts him .
"Yeah, exactly.",neutral,6,neutral,"Yeah , exactly ."
"When I see Manon's disproportionate reaction,",surprise,4,confusion,"When I see Manon's disproportionate reaction ,"
I ask myself questions.,surprise,4,curiosity,I ask myself questions .
"It's complicated, but I focus on my relationship with Larisse",happiness,0,optimism,"It is complicated , but I focus on my relationship with Larisse"
And we have a good time on the rooftop.,happiness,0,joy,And we have a good time on the rooftop .
Ah bah yes.,neutral,6,neutral,Ah bah yes .
I know that not at all.,surprise,4,confusion,I know that not at all .
"Afterwards, I don't see.",surprise,4,confusion,"Afterwards , I do not see ."
"If I tell you, it is because it is.",neutral,6,neutral,"If I tell you , it is because it is ."
"Not forced, actually.",neutral,6,neutral,"Not forced , actually ."
It's going to be nice.,happiness,0,optimism,It is going to be nice .
Not for that.,neutral,6,neutral,Not for that .
Sweet music,happiness,0,joy,Sweet music
Message.,neutral,6,neutral,Message .
Ah !,surprise,4,surprise,Ah !
Has coaching arrived?,surprise,4,curiosity,Has coaching arrived ?
I have a contender.,neutral,6,neutral,I have a contender .
Laughter,happiness,0,amusement,Laughter
"Julien, Antoine, the time of your coaching has arrived.",neutral,6,neutral,"Julien , Antoine , the time of your coaching has arrived ."
Pressure stroke.,surprise,4,confusion,Pressure stroke .
I'm starting to be hot.,neutral,6,neutral,I am starting to be hot .
"I'm not good, because I don't know what they have in store for us",fear,3,nervousness,"I am not good , because I do not know what they have in store for us"
And I'm afraid of living an experience that I will not like.,fear,3,fear,And I am afraid of living an experience that I will not like .
"It's either we come back as a couple, or we come back separate.",surprise,4,confusion,"It is either we come back as a couple , or we come back separate ."
Sweet music,happiness,0,joy,Sweet music
It stresses me too much.,fear,3,nervousness,It stresses me too much .
"We are stressed, because we don't know what awaits us,",fear,3,nervousness,"We are stressed , because we do not know what awaits us ,"
"Whether here, in the villa or outside.",neutral,6,neutral,"Whether here , in the villa or outside ."
Lucie's coaching can weld us.,happiness,0,optimism,Lucie's coaching can weld us .
"It will be a couple exercise,",neutral,6,neutral,"It will be a couple exercise ,"
But that particularly concerns one of you.,surprise,4,curiosity,But that particularly concerns one of you .
Antoine ?,surprise,4,curiosity,Antoine ?
Antoine.,neutral,6,neutral,Antoine .
I was sure.,neutral,6,realization,I was sure .
I'm too happy.,happiness,0,joy,I am too happy .
You have a role to play which will not be easy.,fear,3,nervousness,You have a role to play which will not be easy .
"First, you will be separated.",fear,3,fear,"First , you will be separated ."
